no,product_name,pesticide_type,formulation,ingredient_name,ingredient_concentration,ingredient_unit,nama_komoditas,target_pest,dose_value,dose_unit,registered_at,expired_at
170,INDODINE 485 SL,Insektisida,SL,Dimehipo,485,g/l,padi,penggerek batang,"0,5",ml/l,2025-09-26,2030-09-26
171,INDODINE 6 GR,Insektisida,GR,dimehipo,6,%,padi,penggerek batang,12,kg/ha,2022-10-04,2027-10-04
172,INDOMEC 20 EC,Insektisida,EC,abamektin,20,g/l,padi,penggerek batang,2,ml/l,2024-03-05,2029-03-05
173,JADUG 30 EC,Insektisida,EC,Emamektin Benzoat,30,g/l,padi,penggerek batang,2,ml/l,2025-07-11,2030-07-11
174,JAMBO 200 ME,Insektisida,ME,abamektin,2,g/l,padi,penggerek batang,1,ml/l,2023-04-26,2028-04-26
175,JAMBO 200 ME,Insektisida,ME,Monosultap,198,g/l,padi,penggerek batang,1,ml/l,2023-04-26,2028-04-26
176,JOKI 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,"1,125",l/ha,2022-10-04,2027-10-04
177,JOKI 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,"1,125",l/ha,2022-10-04,2027-10-04
178,JOKI 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,"1,125",l/ha,2022-10-04,2027-10-04
179,JOKI 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,"1,125",l/ha,2022-10-04,2027-10-04
180,JOKI 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,"1,125",l/ha,2022-10-04,2027-10-04
181,JOKI 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,"1,125",l/ha,2022-10-04,2027-10-04
182,JORDAN 5 GR,Insektisida,GR,karbofuran,5,%,padi,penggerek batang,10,kg/ha,2023-08-28,2028-08-28
183,KATANA 200 SC,Insektisida,SC,flubendiamid,200,g/l,padi,penggerek batang,"0,3",ml/l,2024-11-18,2029-11-18
184,KEMPO 400 SL,Insektisida,SL,dimehypo,400,g/l,padi,penggerek batang,2,ml/kg benih,2024-08-09,2029-08-09
185,KK-PLUS 200 SC,Insektisida,SC,klorantraniliprol,200,g/l,padi,penggerek batang,1,ml/l,2026-04-20,2031-04-20
186,"KLORANPRO 0,4 GR",Insektisida,GR,Klorantraniliprol,"0,4",%,padi,penggerek batang,"7,5",kg/ha,2026-04-20,2031-04-20
187,KRESNADAN 3 GR,Insektisida,GR,Karbofuran,3,%,padi,penggerek batang,15,kg/ha,2025-11-13,2030-11-13
188,KURATERBANG 3.3 GR,Insektisida,GR,Karbofuran,3.3,%,padi,penggerek batang,17,kg/ha,2023-02-08,2028-02-08
189,KURATERBANG 3.3 GR,Insektisida,GR,karbofuran,3.3,%,padi,penggerek batang,17,kg/ha,2023-02-08,2028-02-08
190,LANDEP 450 SL,Insektisida,SL,dimehipo,450,g/l,padi,penggerek batang,"2,25",ml/l,2025-02-17,2030-02-17
191,LANDHYPO 500 SL,Insektisida,SL,Dimehypo,500,g/l,padi,penggerek batang,2,ml/l,2024-08-09,2029-08-09
192,LASER 60/20 WG,Insektisida,WG,Nitenpiram,20,%,padi,penggerek batang,2,g/l,2024-09-19,2029-09-19
193,LASER 60/20 WG,Insektisida,WG,Pimetrozin,60,%,padi,penggerek batang,2,g/l,2024-09-19,2029-09-19
194,LUMIVIA B 625 FS,Insektisida,FS,Klorantraniliprol,625,g/l,padi,penggerek batang,6,ml/kg benih,2025-09-26,2030-09-26
195,MANUVER 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,2,ml/l,2022-10-04,2027-10-04
196,MANUVER 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,2,ml/l,2022-10-04,2027-10-04
197,MANUVER 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,2,ml/l,2022-10-04,2027-10-04
198,MANUVER 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,2,ml/l,2022-10-04,2027-10-04
199,MARATHON 500 SL,Insektisida,SL,dimehipo,500,g/l,padi,penggerek batang,0.5,ml/l,2025-02-17,2030-02-17
200,MARSHAL 200 SC,Insektisida,SC,Karbosulfan,200,g/l,padi,penggerek batang,2,ml/l,2022-10-04,2027-10-04
201,MATRIX 200 EC,Insektisida,EC,karbosulfan,200,g/l,padi,penggerek batang,"0,5",ml/l,2024-03-04,2029-03-04
202,MATRIX WIN 200/100 EC,Insektisida,EC,Imidakloprid,100,g/l,padi,penggerek batang,"0,5",ml/l,2024-03-04,2029-03-04
203,MATRIX WIN 200/100 EC,Insektisida,EC,Karbosulfan,200,g/l,padi,penggerek batang,"0,5",ml/l,2024-03-04,2029-03-04
204,MAXDINE 480 SL,Insektisida,SL,Dimehipo,480,g/l,padi,penggerek batang,1,ml/l,2025-07-11,2030-07-11
205,MAXIMA 4/64 WP,Insektisida,WP,Flubendiamida,4,%,padi,penggerek batang,0.25-0.5,kg/ha,2024-11-18,2029-11-18
206,MAXIMA 4/64 WP,Insektisida,WP,Monosultap,64,%,padi,penggerek batang,0.25-0.5,kg/ha,2024-11-18,2029-11-18
207,MONTAF 400 SL,Insektisida,SL,dimehipo,400,g/l,padi,penggerek batang,"1,5",ml/l,2024-03-04,2029-03-04
208,MORGENT 50 SC,Insektisida,SC,fipronil,50,g/l,padi,penggerek batang,1,ml/l,2025-07-11,2030-07-11
209,NARAGENT 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,2,ml/l,2024-03-04,2029-03-04
210,NARAHYPO 505 SL,Insektisida,SL,Dimehipo,505,g/l,padi,penggerek batang,2,ml/l,2023-02-08,2028-02-08
211,NEOFRON 60 SC,Insektisida,SC,Fipronil,60,g/l,padi,penggerek batang,"0,5 - 1,0",ml/l,2023-08-28,2028-08-28
212,NEOFRON 60 SC,Insektisida,SC,Fipronil,60,g/l,padi,penggerek batang,"0,5 - 1,0",ml/l,2023-08-28,2028-08-28
213,NEOFRON 60 SC,Insektisida,SC,Fipronil,60,g/l,padi,penggerek batang,"0,5 - 1,0",ml/l,2023-08-28,2028-08-28
214,NEOFRON 60 SC,Insektisida,SC,Fipronil,60,g/l,padi,penggerek batang,"0,5 - 1,0",ml/l,2023-08-28,2028-08-28
215,NEOFRON 60 SC,Insektisida,SC,Fipronil,60,g/l,padi,penggerek batang,"0,5 - 1,0",ml/l,2023-08-28,2028-08-28
216,NEOFRON 60 SC,Insektisida,SC,Fipronil,60,g/l,padi,penggerek batang,"0,5 - 1,0",ml/l,2023-08-28,2028-08-28
217,NEOFRON 60 SC,Insektisida,SC,Fipronil,60,g/l,padi,penggerek batang,"0,5 - 1,0",ml/l,2023-08-28,2028-08-28
218,NEOFRON 60 SC,Insektisida,SC,Fipronil,60,g/l,padi,penggerek batang,"0,5 - 1,0",ml/l,2023-08-28,2028-08-28
219,NETOXIN 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,1,ml/l,2023-04-26,2028-04-26
220,NETOXIN 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,1,ml/l,2023-04-26,2028-04-26
221,NETOXIN 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,1,ml/l,2023-04-26,2028-04-26
222,NETOXIN 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,1,ml/l,2023-04-26,2028-04-26
223,NETOXIN 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,1,ml/l,2023-04-26,2028-04-26
224,NUMECTIN 20 EC,Insektisida,EC,abamektin,20,g/l,padi,penggerek batang,2,ml/l,2024-11-18,2029-11-18
225,OBLIVION 180/120 SC,Insektisida,SC,indoksakarb,120,g/l,padi,penggerek batang,2.25,ml/l,2021-10-12,2026-10-12
226,OBLIVION 180/120 SC,Insektisida,SC,indoksakarb,120,g/l,padi,penggerek batang,"2,25",ml/l,2025-11-13,2030-11-13
227,OBLIVION 180/120 SC,Insektisida,SC,klorfenapir,180,g/l,padi,penggerek batang,2.25,ml/l,2021-10-12,2026-10-12
228,OBLIVION 180/120 SC,Insektisida,SC,klorfenapir,180,g/l,padi,penggerek batang,"2,25",ml/l,2025-11-13,2030-11-13
229,PENALTY 50 SC,Insektisida,SC,fipronil,50,g/l,padi,penggerek batang,2,ml/l,2023-04-26,2028-04-26
230,"PESTOR 20,02 EC",Insektisida,EC,Azadirachtin,"0,02",g/l,padi,penggerek batang,10,ml/liter,2024-08-09,2029-08-09
231,"PESTOR 20,02 EC",Insektisida,EC,Eugenol,20,g/l,padi,penggerek batang,10,ml/liter,2024-08-09,2029-08-09
232,PETROFUR 3 G,Insektisida, G,karbofuran,3,%,padi,penggerek batang,25.5,kg/ha,2025-09-26,2030-09-26
233,PLEMAX 240/80 SC,Insektisida,SC,Indoksakarb,240,g/l,padi,penggerek batang,"1,2",ml/l,2024-08-09,2029-08-09
234,PLEMAX 240/80 SC,Insektisida,SC,Novaluron,80,g/l,padi,penggerek batang,"1,2",ml/l,2024-08-09,2029-08-09
235,PLUSH 2/58 WP,Insektisida,WP,Imidakloprid,2,%,padi,penggerek batang,1,kg/ha,2024-11-18,2029-11-18
236,PLUSH 2/58 WP,Insektisida,WP,Imidakloprid,2,%,padi,penggerek batang,1.25,kg/ha,2024-11-18,2029-11-18
