no,name,description
1,ringan,"Gejala awal terlihat pada sebagian kecil tanaman atau masih terbatas, populasi hama rendah, dan kerusakan belum berdampak nyata pada pertumbuhan atau hasil."
2,sedang,"Gejala terlihat pada beberapa rumpun atau bagian tanaman, populasi hama meningkat, dan kerusakan mulai memengaruhi pertumbuhan, malai, atau bulir."
3,berat,"Kerusakan meluas atau terdapat gejala berat seperti hopperburn, banyak anakan mati, banyak malai putih, gabah hampa tinggi, atau kehilangan hasil yang signifikan."
